N°;CODIGO INTERNO;DESCRIPCION;MARCA;MODELO ;SERIAL;COLOR;CANTIDAD EXISTENTE;UBICACIÓN;ESTADO DE USO, CONSERVACION Y MANTTO.;OBSERVACION;FECHA ADQUISICION;VALOR  S/LIBRO O FACTURA;UBICACIÓN2;SITIO  ;RESPONSABLE;
131;BNS-15000-0004-2;AIRE ACONDICIONADO 3T ;ECOX;;;BLANCO;1;SALA;DAÑADO;;;;;;;
132;BNS-14000-0002-1;MASCARA DE BUDA EN MADERA TALLADA PQÑA;;;;MARRON ;1;SALA;OPERATIVO;;;;;;;
133;BNS-14000-0001-12;CUADRO FLORAL TALLADO EN MADERA ;;;;DORADO;1;SALA;OPERATIVO;;;;;;;
134;BNS-14000-0002-2;ESCULTURA DE JIRAFAS;;;;;2;SALA;OPERATIVO;;;;;;;
135;BNS-14000-0002-3;ESCULTURAS DE MUJERES EN MADERA DIFERENTE TAMAÑO;;;;;3;SALA;OPERATIVO;;;;;;;
136;BNS-14000-0002-4;MASCARA DE BUDA EN MADERA TALLADA GRANDE;;;;;1;SALA;OPERATIVO;;;;;;;
137;BNS-13000-0002-2;SILLA DE MARMOL PARA PIANO ;;;;MARRON ;1;SALA DE ESTAR;REPARABLE;;;;;;;
138;BNS-13000-0001-4;MESA DE COMPUTADORA ;;;;NEGRO;1;SALA DE ESTAR;OPERATIVO;;;;;;;
139;BNS-13000-0021-3;PIZARRA ACRILICA;;;;;1;SALA DE ESTAR;OPERATIVO;;;;;;;
140;BNS-11000-0012-1;DVD ;PARKER;;;;1;SALA DE ESTAR;DAÑADO;;;;;;;
141;BNS-13000-0015-2;PUFF ;;;;ROJO;1;SALA DE ESTAR;DAÑADO;;;;;;;
142;BNS-15000-0023-1;CORNETA;GT SERIES;;;NEGRO;1;SALA DE ESTAR;DAÑADO;;;;;;;
143;BNS-15000-0024-1;CONSOLA DE SONIDO ;;;;;1;SALA DE ESTAR;REPARABLE;;;;;;;
144;BNS-13000-0018-2;"TELEVISOR 50""";PANASONIC;;;;1;OFICINA;DAÑADO;;;;;;;
145;BNS-11000-0002-1;CASE DE CPU ;;;;;1;OFICINA;DAÑADO;DESINCORPORAR;;;;;;
146;BNS-13000-0003-2;ESTANTE DE MADERA CUATRO PUERTAS;;;;;1;OFICINA;OPERATIVO;;;;;;;
147;BNS-13000-0001-5;ESCRITORIO DE MADERA DE DOS GAVETAS;;;;;1;OFICINA;OPERATIVO;;17/1/2011;3230,51;;;;
148;BNS-13000-0002-3;SILLA DE ESCRITORIO ;;;;AZUL;2;OFICINA;REPARABLE;1 SILLA OPERATIVA Y 1 SILLA DAÑADA;17/1/2011;1006;;;;
149;BNS-13000-0002-4;SILLA EJECUTIVA;;;;NEGRO;1;OFICINA;DAÑADO;;17/1/2011;1006;;;;
150;BNS-11000-0004-1;IMPRESORA MULTIFUNCIONAL ;HP;;;;1;OFICINA;DAÑADO;DESINCORPORAR;;;;;;
151;BNS-15000-0023-2;CORNETA DE SONIDO;;;;;1;OFICINA;DAÑADO;;;;;;;
152;BNS-15000-0023-3;CORNETA DE SONIDO BAJO;;;;;1;OFICINA;DAÑADO;;;;;;;
153;BNS-15000-0023-4;CORNETA RCF;;;;;2;OFICINA;REPARABLE;;;;;;;
154;BNS-11000-0014-1;DVR;;;;;1;OFICINA;OPERATIVO;SE REMPLAZO EL DAÑADO POR UNO NUEVO;;;;;;
155;BNS-24000-0002-1;EXTINTOR ;FIVELINE;;;;1;OFICINA;REPARABLE;;;;;;;
156;BNS-17000-0021-1;ATRIL DE MICROFONO;;;;NEGRO;1;OFICINA;OPERATIVO;;;;;;;
157;BNS-17000-0021-2;ATRIL DE CORNETA;;;;NEGRO;2;OFICINA;REPARABLE;;;;;;;
158;BNS-15000-0004-3;AIRE ACONDICIONADO SPLIT 18 BTU;;;;BLANCO;1;OFICINA;DAÑADO;;15/11/2011;6250;;;;
159;BNS-15000-0023-5;CORNETA KINISIO QS-806;;;;;1;OFICINA;DAÑADO;;16/11/2022;678;;;;
160;BNS-11000-0013-1;FUENTE DE PODER;;;;;1;OFICINA;OPERATIVO;SE REPARO;;;;;;
161;BNS-11000-0002-2;MONITOR ;LG;;;;1;OFICINA;OPERATIVO;;;;;;;
162;BNS-11000-0002-3;TECLADO ;;;;NEGRO;1;OFICINA;REPARABLE;;9/12/2014;669,64;;;;
163;BNS-15000-0011-1;PLANTA DE 3,3 KVA;DOMOSA;;;AZUL Y NEGRO ;1;OFICINA;OPERATIVO;;;;;;;
164;BNS-13000-0018-3;"TELEVISOR 58""";SIRAGON;;;NEGRO;1;OFICINA;OPERATIVO;;28-jun;19,307,93;;;;
165;BNS-15000-0004-4;AIRE ACONDICIONADO SPLIT 12BTU;GPLUS;;;BLANCO;1;OFICINA;OPERATIVO;;3/4/2024;9,070,00;;;;
166;BNS-21000-0002-1;MICROFONO;;;;NEGRO;1;OFICINA;DAÑADO;¡DESAPARECIDA!;;;;;;
167;BNS-20000-0024-2;ESPEJO CON MARCO DE MADERA;;;;;1;PASILLO;OPERATIVO;;;;;;;
168;BNS-13000-0001-6;MESA DE MADERA PARA REUNIONES ;;;;;1;CUARTO DE MANTELERIA;OPERATIVO;;;;;;;
169;BNS-13000-0001-7;MESA PEGABLE DE MADERA;;;;;1;CUARTO DE MANTELERIA;REPARABLE;;;;;;;
170;BNS-13000-0004-2;GAVETERO DE MADERA DE 4 GAVETAS;;;;;1;CUARTO DE MANTELERIA;OPERATIVO;;17/1/2011;2056,36;;;;
171;BNS-15000-0004-5;AIRE ACONDICIONADO 18 BTU DE VENTANA;ADMIRAL;;;;1;CUARTO DE MANTELERIA;OPERATIVO;;7/7/2011;1901,79;;;;
172;BNS-14000-0001-13;CUADRO DECORATIVO DE UNELLEZ;;;;;1;CUARTO DE MANTELERIA;OPERATIVO;;;;;;;
173;BNS-14000-0001-14;CUADRO DECORATIVO DE LEGEND OF THE FALL;;;;;1;CUARTO DE MANTELERIA;OPERATIVO;;;;;;;
174;BNS-13000-0018-4;"TELEVISOR 50"" PLASMA ";PANASONIC;;;;1;CUARTO DE MANTELERIA;DAÑADO;;;;;;;
175;BNS-20000-0023-2;COLCHON INDIVIDUAL;;;;;3;CUARTO DE MANTELERIA;DAÑADO;;;;;;;
176;BNS-14000-0001-15;CUADRO DECORATIVO DE FLORAL PEQUEÑO;;;;;1;ANTESALA ;OPERATIVO;;;;;;;
177;BNS-14000-0001-16;CUADRO DECORATIVO DE 25 AÑOS DE LA UNELLEZ;;;;;1;ANTESALA ;OPERATIVO;;;;;;;
178;BNS-14000-0001-17;CUADRO DECORATIVO TALLADO EN MADERA ;;;;DORADO;1;ANTESALA ;OPERATIVO;;;;;;;
179;BNS-13000-0018-5;TELEVISOR CULON;;;;GRIS;1;ANTESALA ;DAÑADO;;;;;;;
180;BNS-15000-0011-2;PLANTA DE 183,8 KVA;DOMOSA;;;;1;EXTERIOR ;DAÑADO;;;;;;;
181;BNS-15000-0010-1;FILTROS DE AGUA INDUSTRIAL;;;;;2;EXTERIOR ;OPERATIVO;;17/1/2011;20116;;;;
182;BNS-18000-0016-1;PULMON HIDRONEUMATICO;;;;;1;EXTERIOR ;OPERATIVO;;;;;;;
183;BNS-25000-0002-1;TANQUE DE AGUA ELEVADO;;;;;1;EXTERIOR ;OPERATIVO;;21/9/2011;892,86;;;;
184;BNS-17000-0022-1;PARRILLERAS DE HIERRO;;;;;7;EXTERIOR ;OPERATIVO;;;;;;;
