N°;CODIGO INTERNO;DESCRIPCION;MARCA;MODELO ;SERIAL;COLOR;CANTIDAD EXISTENTE;UBICACIÓN;ESTADO DE USO, CONSERVACION Y MANTTO.;OBSERVACION;FECHA ADQUISICION;VALOR  S/LIBRO O FACTURA;UBICACIÓN2;SITIO  ;RESPONSABLE;
236;BNS-23000-0013-1;DUCHAS CON PUERTAS;;;;;3;;;;;;;;;
237;BNS-14000-0003-1;ESPEJO BAÑO DE DAMA;;;;;1;AREA DE CANCHA Y TASCA;;;;;;;;
238;BNS-23000-0007-1;DISPENSADOR DE PAPEL DAMAS;;;;;2;AREA CANCHA Y TASCA;;;;;;;;
239;BNS-23000-0001-2;LAVAMANOS CABALLEROS ;;;;;2;AREA DE CANCHA Y TASCA;;;;;;;;
240;BNS-23000-0002-2;INODOROS BAÑO DE CABALLEROS;;;;;2;AREA DE CANCHA Y TASCA;;;;;;;;
241;BNS-23000-0007-2;DISPENSADOR DE PAPEL CABALLEROS;;;;;2;AREA CANCHA Y TASCA;;;;;;;;
242;BNS-14000-0003-2;ESPEJO CABALLEROS;;;;;1;AREA CANCHA Y TASCA;;;;;;;;
243;BNS-23000-0002-3;INODORO;;;;;1;BAÑO DE LA SALA ;;;;;;;;
244;BNS-23000-0001-3;LAVAMANOS ;;;;;1;BAÑO DE LA SALA ;;;;;;;;
245;BNS-23000-0007-3;DISPENSADOR ;;;;;1;BAÑO DE LA SALA ;;;;;;;;
246;BNS-23000-0002-4;INODORO ;;;;;1;BAÑO DE CUARTO DE MANTELERIA;;;;;;;;
247;BNS-23000-0001-4;LAVAMANOS ;;;;;1;BAÑO DE CUARTO DE MANTELERIA;;;;;;;;
248;BNS-23000-0014-1;BAÑERA DE CERAMICA ;;;;;1;BAÑO DE CUARTO DE MANTELERIA;;;;;;;;
249;BNS-24000-0005-6;CAMARAS DE SEGURIDAD ;HIKVISION;;;;1;COCINA;;;;;;;;
250;BNS-24000-0005-7;CAMARAS DE SEGURIDAD ;HIKVISION;;;;1;SALA PRINCIPAL;;;;;;;;
251;BNS-24000-0005-8;CAMARAS DE SEGURIDAD ;HIKVISION;;;;1;PASILLO DE ENTRADA ;;;;;;;;
252;BNS-24000-0005-9;CAMARAS DE SEGURIDAD ;HIKVISION;;;;1;LAVANDERIA;;;;;;;;
253;BNS-24000-0005-10;CAMARAS DE SEGURIDAD ;HIKVISION;;;;1;PISCINA;;;;;;;;
254;BNS-24000-0005-11;CAMARAS DE SEGURIDAD ;HIKVISION;;;;1;PARQUE;;;;;;;;
255;BNS-24000-0005-12;CAMARAS DE SEGURIDAD ;HIKVISION;;;;2;ESCENARIO;;;;;;;;
256;BNS-24000-0005-13;CAMARAS DE SEGURIDAD ;HIKVISION;;;;3;ALREDEDOR DE LA CASA ;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
